number,clipid,year,event,desc,link,duration
1,HorseRacing1,2015,Triple crown ,American Pharaoh,https://www.youtube.com/watch?v=WyDcXtVb8_U&t=101,60
2,Golf1,2019,Masters,"Tiger wins 2019 masters (water balls by competitors, 16 tee shot, final putt?)",https://www.youtube.com/watch?v=pE-aOBGN8UM&t=0,70
3,Golf7,2017,Open,Spieth Open go get that,https://www.youtube.com/watch?v=-0q3doVGUuE&t=0,80
4,Golf9,2016,Ryder Cup,Reed-Rory Ryder cup singles 2016,https://www.youtube.com/watch?v=3fKB0UJxhe4&t=0,68
5,Golf10,2016,Masters,Spieth collapse,https://www.youtube.com/watch?v=bMf0JpfpZu8&t=209,60
6,Golf13,2015,US Open,Spieth / DJ miss,https://www.youtube.com/watch?v=IcBjIML0GWY&t=9615,68
7,Golf14,2015,Players,Rickie players playoff,https://www.youtube.com/watch?v=nRoWhN5Oexs&t=0,65
8,Golf15,2013,Mastes,Adam Scott 2013 masters,https://www.youtube.com/watch?v=08HvndZs09I&t=16100,50
9,Golf16,2012,Masters,Bubba 2012 playoff wedge,https://www.youtube.com/watch?v=qFYo6iOL7M4&t=17984,60
10,Golf18,2010,Masters,Phil 2010 masters pine straw (caddie convo?),https://www.youtube.com/watch?v=4sV4la-XBYk&t=12361,50
11,Golf20,2010,Press Conference,Tiger,https://www.youtube.com/watch?v=FA7ty2LQwc0&t=0,46
12,Olympics1,2012,100m,Usain,https://www.youtube.com/watch?v=2O7K-8G2nwU&t=,60
13,Olympics2,2018,Curling,Curling gold,https://www.youtube.com/watch?v=WiQeLGqBfcs&t=,50
14,Olympics3,2018,Cross country ski,Cross country skiing gold,https://www.youtube.com/watch?v=4pgIfriF2lQ&t=,47
15,Racing1,2011,Indy 500,JR Hildenbrand crashes as Indy 500 rookie,https://www.youtube.com/watch?time_continue=11115&v=z_PXHlGHXlo&feature=emb_logo&t=11055,60
16,Racing2,2014,Indy 500,Hunter Reay Castroneves battle to the line,https://www.youtube.com/watch?v=1bjovDS6zEs&t=,150
17,Racing3,2019,Indy 500,Rossi Pag,https://www.youtube.com/watch?v=7LX5hP9QMc0&t=,126
18,NCAAHoops1,2010,,UNI Kansas,https://www.youtube.com/watch?v=0K-ztVqT9Kg&t=,54
19,NCAAHoops2,2010,,Butler Duke,https://www.youtube.com/watch?v=SB00wfyuQjY&t=,61
20,NCAAHoops4,2012,,Lehigh Duke,https://www.youtube.com/watch?v=8sz6RzgWF48&t=,60
21,NCAAHoops5,2012,Reg Season,Indiana UK,https://www.youtube.com/watch?time_continue=51&v=8KbNmJQllmg&feature=emb_logo&t=,50
22,NCAAHoops6,2013,FGCU,Dunk city,https://www.youtube.com/watch?time_continue=31&v=jlIBRkr4Ar4&feature=emb_logo&t=,45
23,NCAAHoops7,2013,Sweet 16,Kansas Michigan,https://www.youtube.com/watch?time_continue=28&v=b5RK8ED2CUY&feature=emb_logo&t=,60
24,NCAAHoops2,2010,,Butler Duke,https://www.youtube.com/watch?v=SB00wfyuQjY&t=,61
25,NCAAHoops2,2010,,Butler Duke,https://www.youtube.com/watch?v=SB00wfyuQjY&t=,61
26,Golf8,2017,Travelers,Spieth bunker shot,https://www.youtube.com/watch?v=zsAythDzjXg&t=0,49
