sport,number,clipid,year,event,description,link,Start: Hours,Start: Mins,Start: Seconds,start,duration,Time start,Time end
HorseRacing,1,HorseRacing1,2015,Triple crown ,American Pharaoh,https://www.youtube.com/watch?v=WyDcXtVb8_U,0,1,41,101,60,1:41,2:41
Golf,1,Golf1,2019,Masters,"Tiger wins 2019 masters (water balls by competitors, 16 tee shot, final putt?)",https://www.youtube.com/watch?v=pE-aOBGN8UM,0,0,0,0,70,0:00,1:10
Golf,2,Golf2,2019,US Open,Woodland chip from the green,https://www.youtube.com/watch?v=LEXoR1MvnFo,0,15,45,945,50,15:45,16:35
Golf,5,Golf5,2018,ToC,DJ near hole in one par 4,https://www.youtube.com/watch?v=PFLssz2T_Uk,0,0,0,0,39,,
Golf,6,Golf6,2017,Masters,Sergio wins the masters,https://www.youtube.com/watch?v=kfMSpgr1L3Q,4,0,45,14445,60,4:00:45,4:01:45
Golf,7,Golf7,2017,Open,Spieth Open go get that,https://www.youtube.com/watch?v=-0q3doVGUuE,0,0,0,0,80,0:00,1:20
Golf,8,Golf8,2017,Travelers,Spieth bunker shot,https://www.youtube.com/watch?v=zsAythDzjXg,0,0,0,0,49,0:00,0:49
Golf,9,Golf9,2016,Ryder Cup,Reed-Rory Ryder cup singles 2016,https://www.youtube.com/watch?v=3fKB0UJxhe4,0,0,0,0,68,0:00,1:08
Golf,10,Golf10,2016,Masters,Spieth collapse,https://www.youtube.com/watch?v=bMf0JpfpZu8,0,3,29,209,60,3:29:00,3:30:00
Golf,11,Golf11,2016,US open,DJ penalty?,https://www.youtube.com/watch?v=l-Wx84q0AE0,0,0,18,18,57,0:18,1:15
Golf,13,Golf13,2015,US Open,Spieth / DJ miss,https://www.youtube.com/watch?v=IcBjIML0GWY,2,40,15,9615,68,2:40:15,2:41:23
Golf,14,Golf14,2015,Players,Rickie players playoff,https://www.youtube.com/watch?v=nRoWhN5Oexs,0,0,0,0,65,0:00,1:05
Golf,15,Golf15,2013,Mastes,Adam Scott 2013 masters,https://www.youtube.com/watch?v=08HvndZs09I,4,28,20,16100,50,4:28:20,4:29:10
Golf,16,Golf16,2012,Masters,Bubba 2012 playoff wedge,https://www.youtube.com/watch?v=qFYo6iOL7M4,4,59,44,17984,60,4:59:44,5:00:44
Golf,18,Golf18,2010,Masters,Phil 2010 masters pine straw (caddie convo?),https://www.youtube.com/watch?v=4sV4la-XBYk,3,26,1,12361,50,3:26:01,3:26:51
